,satire,conspiracy,hate,clickbait,propaganda,junksci
validation__recall_0,1.0,0.8920000195503235,0.9390451908111572,0.9715999960899353,0.9387999773025513,0.9674049019813538
validation__recall_1,0.8799999952316284,0.8059999942779541,0.8180000185966492,0.8539999723434448,0.8799999952316284,0.8539999723434448
validation__fscore_0,0.9881423115730286,0.8969331383705139,0.9495689868927002,0.9712115526199341,0.9565926194190979,0.9684166312217712
validation__fscore_1,0.936170220375061,0.7972304821014404,0.7775664925575256,0.8557114005088806,0.805123507976532,0.8497512936592102
validation_accuracy,0.98,0.8633333333333333,0.9177793394237527,0.952,0.929,0.9478050466643623
validation__macro_precision,0.98828125,0.8452854156494141,0.8506366610527039,0.9141265451908112,0.8585312962532043,0.907487541437149
validation__macro_recall,0.9399999976158142,0.8490000069141388,0.8785226047039032,0.9127999842166901,0.9093999862670898,0.9107024371623993
validation_macro_fscore,0.9621562659740448,0.8470818102359772,0.8635677397251129,0.9134614765644073,0.8808580636978149,0.9090839624404907
validation_validation_metric,0.9621562659740448,0.8470818102359772,0.8635677397251129,0.9134614765644073,0.8808580636978149,0.9090839624404907
validation_loss,0.4284134038940527,0.7475245740497485,0.7292370095010515,0.6336106785751702,0.5944463947829589,0.5263119735453278
validation_reg_loss,0.0,0.0,0.0,0.0,0.0,0.0
best_validation__precision_0,0.9928486347198486,0.8990098834037781,0.9571183323860168,0.9695411324501038,0.9693795442581177,0.9707480072975159
best_validation__precision_1,0.9979296326637268,0.8122448921203613,0.7782101035118103,0.8961864113807678,0.8185328245162964,0.8600000143051147
best_validation__recall_0,0.9995999932289124,0.9079999923706055,0.9514066576957703,0.980400025844574,0.9624000191688538,0.9707480072975159
best_validation__recall_1,0.9639999866485596,0.7960000038146973,0.800000011920929,0.8460000157356262,0.8479999899864197,0.8600000143051147
best_validation__fscore_0,0.996212899684906,0.9034825563430786,0.9542539715766907,0.9749403595924377,0.965877115726471,0.9707480072975159
best_validation__fscore_1,0.9806714057922363,0.8040404319763184,0.7889546155929565,0.8703703284263611,0.8330059051513672,0.8600000143051147
best_validation_accuracy,0.9936666666666667,0.8706666666666667,0.9248067463106114,0.958,0.9433333333333334,0.9516073280331836
best_validation__macro_precision,0.9953891336917877,0.8556273877620697,0.8676642179489136,0.9328637719154358,0.893956184387207,0.9153740108013153
best_validation__macro_recall,0.981799989938736,0.8519999980926514,0.8757033348083496,0.9132000207901001,0.9052000045776367,0.9153740108013153
best_validation_macro_fscore,0.9884421527385712,0.8537614941596985,0.8716042935848236,0.9226553440093994,0.8994415104389191,0.9153740108013153
best_validation_validation_metric,0.9884421527385712,0.8537614941596985,0.8716042935848236,0.9226553440093994,0.8994415104389191,0.9153740108013153
best_validation_loss,0.1437345933039055,0.4182885661566009,0.3887580373167191,0.645748350299822,0.5774815883826531,0.2767187246249924
best_validation_reg_loss,0.0,0.0,0.0,0.0,0.0,0.0
test__precision_0,0.929772138595581,0.7617675065994263,0.9018054008483887,0.8626787066459656,0.8824911713600159,0.9417059421539307
test__precision_1,0.9659442901611328,0.5490196347236633,0.46869713068008423,0.478723406791687,0.44742730259895325,0.7338709831237793
test__recall_0,0.9955999851226807,0.7929999828338623,0.8670617938041687,0.939754068851471,0.901199996471405,0.9433233141899109
test__recall_1,0.6240000128746033,0.5040000081062317,0.5540000200271606,0.27000001072883606,0.4000000059604645,0.7279999852180481
test__fscore_0,0.9615607261657715,0.7770700454711914,0.884092390537262,0.8995684385299683,0.8917474150657654,0.9425138831138611
test__fscore_1,0.7582016587257385,0.525547444820404,0.5077909827232361,0.345268577337265,0.4223864674568176,0.7309237122535706
test_accuracy,0.9336666666666666,0.6966666666666667,0.8123689727463312,0.8258503401360544,0.8176666666666667,0.9052668787557441
test__macro_precision,0.9478582143783569,0.6553935706615448,0.6852512657642365,0.6707010567188263,0.6649592369794846,0.837788462638855
test__macro_recall,0.809799998998642,0.648499995470047,0.7105309069156647,0.6048770397901535,0.6506000012159348,0.8356616497039795
test_macro_fscore,0.859881192445755,0.6513087451457977,0.695941686630249,0.6224185079336166,0.6570669412612915,0.8367187976837158
test_validation_metric,0.859881192445755,0.6513087451457977,0.695941686630249,0.6224185079336166,0.6570669412612915,0.8367187976837158
test_loss,1.8767165176105833,1.103493035286665,0.9994541071874548,3.2634739357987455,2.45214334475279,0.5405532222297931
